cores,threads,sum_ms
1,2,109712.43
2,4,54920.34
3,6,36702.00
4,8,27463.66
5,10,21993.09
6,12,18340.36
7,14,15779.75
8,16,13748.06
9,18,12253.93
10,20,11079.58
11,22,10113.52
12,24,9256.01
13,26,8503.55
14,28,7967.28
15,30,7430.89
16,32,6892.87
17,34,6571.95
18,36,6142.67
19,38,5822.36
20,40,5606.66
21,42,5287.70
22,44,5075.57
23,46,4873.34
24,48,4652.71
25,50,4444.62
26,52,4322.04
27,54,4107.18
28,56,3994.99
29,58,3897.70
30,60,3774.90
31,62,3664.82
32,64,3460.05
33,66,3448.45
34,68,3345.83
35,70,3237.31
36,72,3137.52
37,74,3033.27
38,76,2923.10
39,78,2924.22
40,80,2814.95
41,82,2706.88
42,84,2709.20
43,86,2603.57
44,88,2599.39
45,90,2502.34
46,92,2493.48
47,94,2392.74
48,96,2387.08
49,98,2284.64
50,100,2279.37
51,102,2273.45
52,104,2174.62
53,106,2172.40
54,108,2067.60
55,110,2067.55
56,112,2068.33
57,114,1964.17
58,116,1959.16
59,118,1959.51
60,120,1961.49
61,122,1853.83
62,124,1854.30
63,126,1853.76
64,128,1745.08
65,130,1745.83
66,132,1746.68
67,134,1749.17
68,136,1748.70
69,138,1641.12
70,140,1643.79
71,142,1647.31
72,144,1648.91
73,146,1651.09
74,148,1546.48
75,150,1566.64
76,152,1551.77
77,154,1550.57
78,156,1548.97
79,158,1448.41
80,160,1450.83
81,162,1452.69
82,164,1453.44
83,166,1455.25
84,168,1455.68
85,170,1455.78
86,172,1354.43
87,174,1356.14
88,176,1359.53
