arch,app,variant,cores,time_s,threads
grace,cloverleaf,base,1,191.1685860157013,1
grace,cloverleaf,base,2,95.87172508239746,2
grace,cloverleaf,base,3,64.35670399665833,3
grace,cloverleaf,base,4,48.74390506744385,4
grace,cloverleaf,base,5,40.17934799194336,5
grace,cloverleaf,base,6,33.903342962265015,6
grace,cloverleaf,base,7,29.3171911239624,7
grace,cloverleaf,base,8,26.56684398651123,8
grace,cloverleaf,base,9,23.831117868423465,9
grace,cloverleaf,base,10,21.685046195983887,10
grace,cloverleaf,base,11,20.298577785491943,11
grace,cloverleaf,base,12,19.06248497962952,12
grace,cloverleaf,base,13,18.066145181655884,13
grace,cloverleaf,base,14,16.864192008972168,14
grace,cloverleaf,base,15,16.37368106842041,15
grace,cloverleaf,base,16,15.622208833694458,16
grace,cloverleaf,base,17,15.193335056304932,17
grace,cloverleaf,base,18,14.401846885681152,18
grace,cloverleaf,base,19,13.970636129379272,19
grace,cloverleaf,base,20,13.73503804206848,20
grace,cloverleaf,base,21,13.179460048675535,21
grace,cloverleaf,base,22,12.930809020996094,22
grace,cloverleaf,base,23,12.734072923660278,23
grace,cloverleaf,base,24,12.522648811340332,24
grace,cloverleaf,base,25,12.217705965042114,25
grace,cloverleaf,base,26,12.06471586227417,26
grace,cloverleaf,base,27,11.950021982192991,27
grace,cloverleaf,base,28,11.775401830673218,28
grace,cloverleaf,base,29,11.637220144271852,29
grace,cloverleaf,base,30,11.518633127212524,30
grace,cloverleaf,base,31,11.38261103630066,31
grace,cloverleaf,base,32,11.24738621711731,32
grace,cloverleaf,base,33,11.296833992004396,33
grace,cloverleaf,base,34,11.23265814781189,34
grace,cloverleaf,base,35,11.200038909912108,35
grace,cloverleaf,base,36,11.127542972564695,36
grace,cloverleaf,base,37,11.259365081787108,37
grace,cloverleaf,base,38,11.114142894744871,38
grace,cloverleaf,base,39,11.19160795211792,39
grace,cloverleaf,base,40,11.21966290473938,40
grace,cloverleaf,base,41,11.281358957290648,41
grace,cloverleaf,base,42,11.28751802444458,42
grace,cloverleaf,base,43,11.227198839187622,43
grace,cloverleaf,base,44,11.385679960250854,44
grace,cloverleaf,base,45,11.206130981445312,45
grace,cloverleaf,base,46,11.661006927490234,46
grace,cloverleaf,base,47,11.56390905380249,47
grace,cloverleaf,base,48,11.552487134933472,48
grace,cloverleaf,base,49,11.485408067703249,49
grace,cloverleaf,base,50,11.430415868759155,50
grace,cloverleaf,base,51,11.472754955291748,51
grace,cloverleaf,base,52,11.509541988372805,52
grace,cloverleaf,base,53,11.508530855178831,53
grace,cloverleaf,base,54,11.485096216201782,54
grace,cloverleaf,base,55,11.46078395843506,55
grace,cloverleaf,base,56,11.429678916931152,56
grace,cloverleaf,base,57,11.5119309425354,57
grace,cloverleaf,base,58,11.484761953353882,58
grace,cloverleaf,base,59,11.499361991882324,59
grace,cloverleaf,base,60,11.40378999710083,60
grace,cloverleaf,base,61,11.56606101989746,61
grace,cloverleaf,base,62,11.429720878601074,62
grace,cloverleaf,base,63,11.548748970031738,63
